tray,pop,temp,ph,time,status
fr01,FRA,13,8,28,0
fr01,FRA,13,8,28,0
fr01,FRA,13,8,28,0
fr01,FRA,13,8,28,0
fr01,FRA,13,8,28,0
fr01,FRA,13,8,28,0
fr01,FRA,13,8,28,0
fr01,FRA,13,8,28,0
fr01,FRA,13,8,28,0
fr01,FRA,13,8,28,0
fr01,FRA,13,8,28,0
fr01,FRA,13,8,28,0
fr01,FRA,13,8,28,0
fr01,FRA,13,8,28,0
fr01,FRA,13,8,28,0
fr01,FRA,13,8,28,0
fr01,FRA,13,8,28,0
fr01,FRA,13,8,28,0
fr01,FRA,13,8,28,0
